answer,ja_prompt,pos,aliases,hint,example
instead,その代わりに,adverb,rather,in_____,"He did not take a bus. Instead, he walked."
otherwise,さもなければ・別の方法で,adverb,or else,ot_______,"Study regularly; otherwise, you will forget many words."
rather,むしろ・かなり,adverb,instead;fairly,ra____,The question is rather difficult.
almost,ほとんど,adverb,nearly,al____,Almost all students passed the exam.
nearly,ほとんど・もう少しで,adverb,almost,ne____,The project is nearly finished.
approximately,およそ・約,adverb,about;roughly,ap___________,Approximately two hundred students joined the event.
roughly,おおよそ・大まかに,adverb,approximately,ro_____,The two groups are roughly the same size.
relatively,比較的,adverb,comparatively,re________,The rule is relatively easy to understand.
extremely,極めて・非常に,adverb,very,ex_______,The problem is extremely serious.
highly,非常に・高く,adverb,very;greatly,hi____,The movie was highly popular among teenagers.
mainly,主に,adverb,mostly;primarily,ma____,The article mainly discusses education.
primarily,主に・第一に,adverb,mainly,pr_______,The course is primarily for beginners.
largely,大部分は・主に,adverb,mostly,la_____,The success was largely due to teamwork.
mostly,大部分は・たいてい,adverb,largely,mo____,The class is mostly made up of first-year students.
exactly,正確に・まさに,adverb,precisely,ex_____,I do not know exactly what happened.
precisely,正確に・まさに,adverb,exactly,pr_______,The word must be used precisely.
similarly,同様に,adverb,likewise,si_______,"Similarly, other countries face the same problem."
likewise,同様に,adverb,similarly,li______,"The first method is useful. Likewise, the second is effective."
